timestamp_iso,crisis_pressure,crisis_band,escalation_forecast,forecast_band
2026-07-19T00:36:10.232Z,91,extreme,60,high
2026-07-19T00:41:12.728Z,91,extreme,60,high
2026-07-19T00:46:03.504Z,91,extreme,60,high
2026-07-19T00:51:04.697Z,91,extreme,60,high
2026-07-19T00:56:05.148Z,91,extreme,60,high
2026-07-19T01:01:03.501Z,91,extreme,60,high
2026-07-19T01:06:06.178Z,91,extreme,60,high
2026-07-19T01:11:07.838Z,91,extreme,60,high
2026-07-19T01:16:04.266Z,91,extreme,60,high
2026-07-19T01:21:11.018Z,91,extreme,60,high
2026-07-19T01:26:10.732Z,91,extreme,60,high
2026-07-19T01:31:05.660Z,91,extreme,60,high
2026-07-19T01:36:10.475Z,91,extreme,60,high
2026-07-19T01:41:03.885Z,91,extreme,60,high
2026-07-19T01:46:03.059Z,91,extreme,60,high
2026-07-19T01:51:03.566Z,91,extreme,60,high
2026-07-19T01:56:03.634Z,91,extreme,60,high
2026-07-19T02:01:03.214Z,91,extreme,60,high
2026-07-19T02:06:03.922Z,91,extreme,60,high
2026-07-19T02:11:03.959Z,91,extreme,60,high
2026-07-19T02:16:03.000Z,91,extreme,60,high
2026-07-19T02:21:03.015Z,91,extreme,60,high
2026-07-19T02:26:03.699Z,91,extreme,60,high
2026-07-19T02:31:04.368Z,91,extreme,60,high
2026-07-19T02:36:03.640Z,91,extreme,60,high
2026-07-19T02:41:03.873Z,91,extreme,60,high
2026-07-19T02:46:03.099Z,91,extreme,60,high
2026-07-19T02:51:03.943Z,91,extreme,60,high
2026-07-19T02:56:03.737Z,91,extreme,60,high
2026-07-19T03:01:03.113Z,91,extreme,60,high
2026-07-19T03:06:04.353Z,91,extreme,60,high
2026-07-19T03:11:03.631Z,91,extreme,60,high
2026-07-19T03:16:03.037Z,91,extreme,60,high
2026-07-19T03:21:03.633Z,91,extreme,60,high
2026-07-19T03:26:04.124Z,91,extreme,60,high
2026-07-19T03:31:04.801Z,91,extreme,60,high
2026-07-19T03:36:03.638Z,91,extreme,60,high
2026-07-19T03:41:03.724Z,91,extreme,60,high
2026-07-19T03:46:03.043Z,91,extreme,60,high
2026-07-19T03:51:03.145Z,91,extreme,60,high
2026-07-19T03:56:03.854Z,91,extreme,60,high
2026-07-19T04:01:25.575Z,91,extreme,59,elevated
2026-07-19T04:06:15.183Z,91,extreme,59,elevated
2026-07-19T04:11:06.631Z,91,extreme,59,elevated
2026-07-19T04:16:08.476Z,91,extreme,59,elevated
